,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inch as ees (last 3 hrs)
0,Mataura,NZ,2020-05-09 12:05:48,-46.19,168.86,48.54,89,67,3.65,broken clouds,0,0
1,Busselton,AU,2020-05-09 12:06:01,-33.65,115.33,48.99,59,0,3.36,clear sky,0,0
2,Souillac,MU,2020-05-09 12:05:53,-20.52,57.52,80.6,57,20,10.29,few clouds,0,0
3,Alice Springs,AU,2020-05-09 12:12:47,-23.7,133.88,62.6,36,46,8.05,scattered clouds,0,0
4,Marsabit,KE,2020-05-09 12:12:47,2.33,37.99,77.88,58,17,15.52,few clouds,0,0
5,Esperance,AU,2020-05-09 12:06:21,-33.87,121.9,51.8,87,50,4.7,scattered clouds,0,0
6,Coihaique,CL,2020-05-09 12:12:48,-45.58,-72.07,46.4,87,90,2.24,light rain,0,0
7,Bluff,NZ,2020-05-09 12:05:46,-46.6,168.33,54.03,82,13,13.18,few clouds,0,0
8,Butaritari,KI,2020-05-09 12:05:51,3.07,172.79,83.14,76,47,7.49,scattered clouds,0,0
9,Hithadhoo,MV,2020-05-09 12:06:04,-0.6,73.08,84.54,79,100,14.0,overcast clouds,0,0
10,Kavieng,PG,2020-05-09 12:06:18,-2.57,150.8,83.34,79,2,8.86,clear sky,0,0
11,Punta Arenas,CL,2020-05-09 12:05:43,-53.15,-70.92,44.6,93,90,4.7,overcast clouds,0,0
12,Bredasdorp,ZA,2020-05-09 12:05:51,-34.53,20.04,69.8,26,38,10.29,scattered clouds,0,0
13,Dunedin,NZ,2020-05-09 12:12:49,-45.87,170.5,50.0,95,27,1.01,scattered clouds,0,0
14,Hilo,US,2020-05-09 12:05:54,19.73,-155.09,69.8,83,90,4.7,light rain,0,0
15,Lebu,CL,2020-05-09 12:06:41,-37.62,-73.65,55.04,92,6,8.99,clear sky,0,0
16,Labuhan,ID,2020-05-09 12:06:09,-6.88,112.21,82.36,80,100,6.78,moderate rain,0,0
17,Cockburn Town,TC,2020-05-09 12:12:06,21.46,-71.14,81.09,81,75,20.51,broken clouds,0,0
18,Henties Bay,NA,2020-05-09 12:08:57,-22.12,14.28,82.0,28,0,8.01,clear sky,0,0
19,Tiksi,RU,2020-05-09 12:05:44,71.69,128.87,20.16,96,95,3.04,overcast clouds,0,0
20,Qaanaaq,GL,2020-05-09 12:06:03,77.48,-69.36,8.53,80,0,1.7,clear sky,0,0
21,Wexford,IE,2020-05-09 12:10:32,52.33,-6.46,69.01,72,40,4.7,scattered clouds,0,0
22,Laguna,US,2020-05-09 12:06:11,38.42,-121.42,63.0,59,1,3.36,clear sky,0,0
23,Ponta Do Sol,PT,2020-05-09 12:06:10,32.67,-17.1,71.6,60,40,8.05,scattered clouds,0,0
24,Rikitea,PF,2020-05-09 12:05:53,-23.12,-134.97,74.82,73,38,4.45,scattered clouds,0,0
25,Portland,US,2020-05-09 12:08:41,45.52,-122.68,64.99,42,1,6.93,clear sky,0,0
26,Longyearbyen,SJ,2020-05-09 12:05:55,78.22,15.64,23.0,57,40,13.87,scattered clouds,0,0
27,Albany,US,2020-05-09 12:05:44,42.6,-73.97,33.01,56,51,18.48,broken clouds,0,0
