,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,80.6,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
3,Grand Gaube,MU,70.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
4,Butaritari,KI,83.68,scattered clouds,3.07,172.79,Isles Sunset Lodge
5,Wuzhou,CN,85.87,moderate rain,23.48,111.32,Wuzhou Hostel
6,Vaini,TO,80.6,thunderstorm,-21.2,-175.2,Keleti Beach Resort
12,Matara,LK,80.29,overcast clouds,5.95,80.54,Amaloh Boutique Resort
13,Avarua,CK,82.4,clear sky,-21.21,-159.78,Paradise Inn
18,Rikitea,PF,75.92,clear sky,-23.12,-134.97,Pension Maro'i
20,Hithadhoo,MV,84.63,light rain,-0.6,73.08,Scoop Guest House
22,Lishu,CN,70.02,clear sky,43.3,124.33,Shengyuan Hotel Fast Food
24,Makakilo City,US,84.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
26,Gumdag,TM,73.98,clear sky,39.21,54.59,
27,Ahuimanu,US,87.8,few clouds,21.44,-157.84,Paradise Bay Resort
28,Djibo,BF,91.98,clear sky,14.1,-1.63,Centre Des Ressources DPENA
29,Manicore,BR,75.27,broken clouds,-5.81,-61.3,Pousada da wanda
31,Hua Hin,TH,86.0,few clouds,12.57,99.96,InterContinental Hua Hin Resort
38,Abilene,US,77.0,clear sky,32.45,-99.73,La Quinta Inn by Wyndham Abilene
40,Atuona,PF,80.8,overcast clouds,-9.8,-139.03,Villa Enata
46,Arawa,PG,88.14,light rain,-6.21,155.54,Coastline Guest House
49,Sinnamary,GF,78.17,moderate rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
53,Cabo San Lucas,MX,80.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
55,Hambantota,LK,81.55,broken clouds,6.12,81.12,Bungalow 63
57,Inirida,CO,75.52,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
59,Itoman,JP,80.01,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
64,Alofi,NU,84.2,overcast clouds,-19.06,-169.92,Taloa Heights
65,Abu Dhabi,AE,82.99,clear sky,24.47,54.37,Beach Rotana
69,Saint George,US,93.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
74,Los Chiles,CR,73.99,overcast clouds,11.03,-84.72,Cabinas y Apartamentos Felicia
75,Kapaa,US,78.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
77,Ixtapa,MX,82.4,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
79,Sao Filipe,CV,73.81,overcast clouds,14.9,-24.5,Tortuga B&B
84,Manoel Urbano,BR,72.91,broken clouds,-8.84,-69.26,Baixada Beira Rio
85,Alyangula,AU,84.2,clear sky,-13.85,136.42,Groote Eylandt Lodge
89,Tshikapa,CD,72.36,overcast clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
90,Khalilabad,IN,85.91,clear sky,26.77,83.07,Kapils Hotel
95,Athni,IN,79.79,clear sky,16.73,75.07,Basawasri Lodge
101,Karaton,ID,82.4,mist,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
103,Mangan,IN,71.51,clear sky,27.52,88.53,Hotel Mout View
106,Vao,NC,72.34,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
117,Baragua,CU,78.08,light rain,21.7,-78.63,Hotel Itabo
119,Byron Bay,AU,72.0,clear sky,-28.65,153.62,Backpackers Inn on the Beach
121,Kollam,IN,82.4,mist,8.88,76.6,The Raviz Ashtamudi
123,Manokwari,ID,85.41,few clouds,-0.87,134.08,Swiss Belhotel Manokwari
125,Arlit,NE,84.07,clear sky,18.74,7.39,Hôtel Telwa Bungalow
133,Tual,ID,83.62,overcast clouds,-5.67,132.75,Grand Vilia Hotel
136,Kagoro,NG,73.27,overcast clouds,9.6,8.38,Palm Garden Hotel
137,Mahebourg,MU,73.4,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
138,Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
144,Kulhudhuffushi,MV,81.54,moderate rain,6.62,73.07,Haajy Guest House 1
145,Faanui,PF,80.98,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,Georgetown,MY,82.4,mist,5.41,100.34,Cititel Penang
152,Lorengau,PG,86.79,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
153,Marsh Harbour,BS,77.76,scattered clouds,26.54,-77.06,Abaco Beach Resort
154,Bengkulu,ID,78.85,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
155,Victoria,HK,86.0,scattered clouds,22.29,114.16,Mini Hotel Central
161,Praia,CV,71.6,broken clouds,14.92,-23.51,LT Aparthotel
164,Balancan,MX,81.64,moderate rain,17.8,-91.53,Hotel Balam Ku
166,Bambous Virieux,MU,73.4,shower rain,-20.34,57.76,Casa Tia Villa
168,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
169,Haapiti,PF,87.8,clear sky,-17.57,-149.87,Linareva Moorea Beach Resort
172,Turan,VN,82.4,few clouds,16.07,108.22,Grand Mercure Danang
173,Aitape,PG,87.12,clear sky,-3.14,142.35,
174,Kavieng,PG,86.54,broken clouds,-2.57,150.8,Nusa Island Retreat
176,Cayenne,GF,77.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
180,Portland,US,86.0,broken clouds,45.52,-122.68,Portland Marriott City Center
182,Waddan,LY,73.72,overcast clouds,29.16,16.14,محل الشريف محمد العايب
184,Emerald,AU,78.01,overcast clouds,-23.53,148.17,The Irish Village
192,Galle,LK,82.67,few clouds,6.04,80.22,CocoBay Unawatuna
193,Tabou,CI,80.65,overcast clouds,4.42,-7.35,hotêl doufoulougou
197,Amapa,BR,73.54,moderate rain,1.0,-52.0,
199,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
200,Harlingen,US,75.2,broken clouds,26.19,-97.7,Courtyard by Marriott Harlingen
201,Carnarvon,AU,76.68,overcast clouds,-24.87,113.63,Hospitality Carnarvon
202,Aden,YE,86.49,clear sky,12.78,45.04,Sama Emirate Hotel
205,Basco,PH,83.14,broken clouds,20.45,121.97,Nathaniel's Lodge
212,Nishihara,JP,80.6,broken clouds,26.18,127.76,Minshuku Agaihama
214,Saint Pete Beach,US,79.0,scattered clouds,27.73,-82.74,TradeWinds Island Grand Resort
215,Half Moon Bay,US,73.0,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
216,Ketchikan,US,78.8,clear sky,55.34,-131.65,Snows Cove Lodge
219,Hasaki,JP,70.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
221,Sabang,ID,80.65,light rain,5.89,95.32,Hotel Citra
223,Port Blair,IN,84.11,broken clouds,11.67,92.75,Hotel Sentinel
224,Bani,DO,82.99,broken clouds,18.28,-70.33,Hospedaje Henriquez
229,Alappuzha,IN,83.3,light rain,9.49,76.33,Ramada by Wyndham Alleppey
232,Mecca,SA,82.29,broken clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
234,Cairns,AU,78.8,clear sky,-16.92,145.77,Mantra Trilogy Cairns
238,Vanimo,PG,85.84,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
239,Dingle,PH,88.2,overcast clouds,11.0,122.67,Camp Pasica
241,Yazman,PK,89.29,scattered clouds,29.12,71.74,Churahi Karyana Store
242,Guerrero Negro,MX,70.88,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
243,Coronon,PH,86.0,broken clouds,6.88,125.45,Sanjo Navarro Boarding House
247,Kununurra,AU,86.0,clear sky,-15.77,128.73,Hotel Kununurra
248,Kavaratti,IN,85.51,clear sky,10.57,72.64,Bismillah Hotel And Lodging
249,Guanica,PR,82.0,overcast clouds,17.97,-66.91,Copamarina Beach Resort & Spa
254,Tura,IN,79.81,clear sky,25.52,90.22,Hotel RIKMAN Continental
259,Sur,OM,82.45,clear sky,22.57,59.53,Sur Plaza Hotel
261,Sola,VU,87.8,broken clouds,-13.88,167.55,Leumerus Bungalows
262,Padang,ID,82.89,overcast clouds,-0.95,100.35,Mercure Padang
263,Puerto Ayora,EC,77.0,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
267,San Felipe,VE,73.15,few clouds,10.34,-68.74,Posada Llovizna Rodríguez
268,Bubaque,GW,77.94,overcast clouds,11.28,-15.83,Casa Dora
269,Carlsbad,US,73.99,clear sky,33.16,-117.35,Sheraton Carlsbad Resort & Spa
272,Bridgetown,BB,80.6,scattered clouds,13.1,-59.62,Hilton Barbados Resort
281,Atar,MR,84.07,clear sky,20.52,-13.05,Oumou Elghoura
283,San Patricio,MX,82.4,few clouds,19.22,-104.7,Hotel Cabo Blanco
289,Zwedru,LR,74.26,overcast clouds,6.07,-8.13,Elijah Worjloh
292,Pimentel,PE,73.4,clear sky,-6.84,-79.93,Casona Del Muelle
293,Marzuq,YE,75.63,broken clouds,14.4,46.47,
298,Buraydah,SA,80.6,dust,26.33,43.98,Mövenpick Hotel Qassim
302,Bhan,PK,84.56,few clouds,26.56,67.72,جمن بگھیہ ھوٹل
304,Arraial Do Cabo,BR,71.58,clear sky,-22.97,-42.03,Pousada Porto Praia
307,Diu,IN,77.72,clear sky,20.71,70.98,Hotel Relax Inn
311,Kindu,CD,70.3,overcast clouds,-2.95,25.95,Hotel Karibu
312,Kieta,PG,87.46,broken clouds,-6.22,155.63,
317,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
319,Wajir,KE,76.23,overcast clouds,1.75,40.06,Al- Amin lodge
321,Balkanabat,TM,73.87,clear sky,39.51,54.37,Nebitchi Hotel
